HTTrack3.49-2+htsswf+htsjava launched on Wed, 14 Dec 2022 16:20:20 at https://www.aleztravel.az/hotels +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" https://www.aleztravel.az/hotels -O1 "C:\Users\hp\Desktop\aleztravel" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

16:24:22	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/city-hotels/+994508707808 (from https://www.aleztravel.az/city-hotels/istanbul)
16:24:36	Error: 	"Internal Server Error" (500) after 2 retries at link https://www.aleztravel.az/country/fb (from https://www.aleztravel.az/country/azerbaycan)
16:24:36	Error: 	"Internal Server Error" (500) after 2 retries at link https://www.aleztravel.az/country/tv (from https://www.aleztravel.az/country/azerbaycan)
16:24:36	Error: 	"Internal Server Error" (500) after 2 retries at link https://www.aleztravel.az/country/+994508707808 (from https://www.aleztravel.az/country/azerbaycan)
16:24:36	Error: 	"Internal Server Error" (500) after 2 retries at link https://www.aleztravel.az/story/fb (from https://www.aleztravel.az/story/birkart)
16:24:36	Error: 	"Internal Server Error" (500) after 2 retries at link https://www.aleztravel.az/story/tv (from https://www.aleztravel.az/story/birkart)
16:24:36	Error: 	"Internal Server Error" (500) after 2 retries at link https://www.aleztravel.az/story/+994508707808 (from https://www.aleztravel.az/story/birkart)
16:24:36	Error: 	"Internal Server Error" (500) after 2 retries at link https://www.aleztravel.az/blog/fb (from https://www.aleztravel.az/blog/gblog-name)
16:24:36	Error: 	"Internal Server Error" (500) after 2 retries at link https://www.aleztravel.az/blog/tv (from https://www.aleztravel.az/blog/gblog-name)
16:24:37	Error: 	"Internal Server Error" (500) after 2 retries at link https://www.aleztravel.az/blog/+994508707808 (from https://www.aleztravel.az/blog/gblog-name)
16:24:37	Error: 	"" (500) after 2 retries at link https://www.aleztravel.az/city-hotels/fb (from https://www.aleztravel.az/city-hotels/istanbul)
16:24:37	Error: 	"Internal Server Error" (500) after 2 retries at link https://www.aleztravel.az/city-hotels/tv (from https://www.aleztravel.az/city-hotels/istanbul)
16:24:37	Error: 	"Internal Server Error" (500) after 2 retries at link https://www.aleztravel.az/city-hotels/+994508707808 (from https://www.aleztravel.az/city-hotels/istanbul)

HTTrack Website Copier/3.49-2 mirror complete in 4 minutes 17 seconds : 258 links scanned, 189 files written (22999364 bytes overall) [54463249 bytes received at 211919 bytes/sec], 1802552 bytes transferred using HTTP compression in 131 files, ratio 21%, 7.1 requests per connection
(32 errors, 37 warnings, 0 messages)
